;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
DIALOG/encounters/mech_ice_cave_03;That makes sense. We should try to maximize the effectiveness of Drone Mines by covering as many additional ore deposits with their range as possible.;To ma sens. Powinniśmy zmaksymalizować efektywność Kopalni Dronowych, obejmując ich zasięgiem jak najwięcej dodatkowych złóż.;Разумно. Нам стоит максимизировать эффективность шахтных дронов, охватив как можно больше дополнительных залежей руды в радиусе их действия.;Je comprends. On devrait essayer de maximiser l’efficacité des mines de drones en couvrant autant de gisements miniers supplémentaires que possible avec leur portée.;Das leuchtet ein. Wir sollten versuchen, die Effizienz der Drohnenminen zu maximieren, indem wir so viele weitere Erzvorkommen wie möglich innerhalb ihrer Reichweite abdecken.;Tiene sentido. Deberíamos intentar maximizar la efectividad de las minas de drones situándolas en zonas con una gran cantidad de depósitos de minerales.;Faz sentido. Devemos tentar maximizar a eficácia das Minas de Drones cobrindo com seu alcance o maior número possível de depósitos de minério adicionais.;有道理。我们应该尽可能地将更多额外的矿床覆盖在无人机采矿站的范围内，从而使其采矿效果最大化。;理にかなっているな。少しでも作業効率を上げるために、できるだけ多くの鉱床をドローンベースの範囲内に入れるようにしよう。;일리가 있습니다. 드론 광산의 효과를 극대화하려면 가능한 한 많은 추가 광맥을 사정권 안에 포함시켜야 합니다.
DIALOG/encounters/ashley_ice_skull_01;Hey, look at that rock over there. It has a very peculiar shape, and I think I see a faint glow coming from one if it's sides. Let's go check it out.;Hej, spójrz na tę skałę. Ma bardzo osobliwy kształt i wydaje mi się, że widzę słabą poświatę dochodzącą z jednej z jej stron. Sprawdźmy to.;Эй, посмотри-ка на тот камень. У него очень странная форма, и мне кажется, с одной стороны исходит слабое свечение. Пошли, проверим.;Hé, regarde ce rocher, là. Il a une forme un peu bizarre. Et, en plus, je crois voir de la lumière qui sort d’un de ses côtés. Allons voir ça de plus près.;Hey, schau dir mal den Felsen dort drüben an. Er hat eine sehr seltsame Form. Ich glaube, ich erkenne ein schwaches Leuchten an einer Seite. Lass uns das mal genauer unter die Lupe nehmen.;Eh, mira esa roca de ahí. Tiene una forma bastante peculiar y parece que una de sus caras está brillando. Vayamos a echar un vistazo.;Ei, veja aquela rocha ali. Ela tem um formato muito peculiar, e acho que estou vendo um brilho fraco vindo de um dos seus lados. Vamos dar uma olhada.;嘿，看那边那块石头。它的形状非常奇特，我觉得我看到它的一侧散发着微弱的光芒。我们去看看吧。;ねえ、あの岩を見て。形が奇妙だし、薄く光っている箇所がある。調べてみましょう。;저기 저 바위 좀 봐. 모양이 아주 특이한데, 한쪽에서 희미한 빛이 나는 것 같아. 가서 한번 살펴보자.
DIALOG/encounters/ashley_ice_skull_02;Ok, now tell me this doesn't look like a skull to you.;Dobra, teraz spróbuj mi powiedzieć, że to nie wygląda jak czaszka.;Так, а теперь скажи, что это не похоже на череп.;OK, maintenant, dis-moi que ça ressemble pas à un crâne pour toi.;Alles klar. Jetzt sag mir, dass das nicht wie ein Schädel für dich aussieht.;Vale, dime que esto no parece un cráneo.;Certo, agora me diga que isso não parece um crânio para você.;好吧，现在告诉我你不觉得这看起来像个头骨。;これが頭蓋骨じゃないって言える？;자, 이제 이걸 보고 해골 같지 않다고 말해봐.
DIALOG/encounters/mech_ice_skull_01;Affirmative. This does not look like a skull to me.;Potwierdzam. To nie wygląda jak czaszka.;Подтверждаю. На череп не похоже.;Affirmatif. À mon humble avis, ce n’est pas un crâne.;Bestätigt. Für mich sieht das nicht wie ein Schädel aus.;Afirmativo. No parece un cráneo.;Concordo. Isso não me parece um crânio.;确认。在我看来，这并不像一个头骨。;言える。これは頭蓋骨には見えない。;네, 이건 제게는 해골로 보이지 않습니다.
DIALOG/encounters/ashley_ice_skull_03;Come on. Are you serious? It's got obvious eye sockets, teeth, and a nose.;Daj spokój. Poważnie? Przecież ma wyraźne oczodoły, zęby i nos.;Да брось! Ты серьёзно? Тут же явные глазницы, зубы и нос!;Sérieusement ? On voit clairement les trous des yeux, des dents et un nez.;Ach was, machst du Witze? Man sieht doch ganz klar die Augenhöhlen, die Zähne und die Nase.;Venga ya, ¿en serio? Tiene cuencas, dientes y nariz.;Ora, vamos. Está falando sério? Tem órbitas oculares, dentes e um nariz óbvios.;得了吧。你是认真的吗？它有明显的眼窝、牙齿和鼻子。;本気？眼窩も歯も鼻もあるのに？;이봐. 진심이야? 뚜렷한 눈구멍에, 이빨, 코가 다 있잖아.
DIALOG/encounters/mech_ice_skull_02;I understand what your brain is telling you, but this most certainly is not a skull. This rock formation is typical of this area. Its geological composition also does not reveal anything out of the ordinary.;Rozumiem, co podpowiada ci mózg, ale to z całą pewnością nie jest czaszka. Ta formacja skalna jest typowa dla tego obszaru. Jej skład geologiczny również nie wykazuje niczego niezwykłego.;Я понимаю, что тебе подсказывает мозг, но это точно не череп. Такие скальные образования типичны для этой местности. Их геологический состав также не показывает ничего необычного.;Je peux comprendre que ton cerveau te suggère tout ça, mais il ne s’agit pas du tout d’un crâne. Cette formation de roche est typique de cette région. Sa composition géologique ne révèle rien d’extraordinaire.;Ich verstehe, was dein Gehirn hier wahrnimmt, aber das ist ganz sicher kein Schädel. Eine solche Felsformation ist typisch für diese Gegend. Auch ihre geologische Zusammensetzung weist nichts Ungewöhnliches auf.;Entiendo lo que tu cerebro trata de decirte, pero esto no es un cráneo. Esta formación rocosa es típica de esta zona. Su composición geológica tampoco revela nada extraño.;Eu entendo o que seu cérebro está te dizendo, mas isso certamente não é um crânio. Essa formação rochosa é típica desta área. Sua composição geológica também não revela nada fora do comum.;我理解你的大脑正在给你什么暗示，但这绝对不是一个头骨。这种岩层结构是该地区的典型特征。其地质成分也没有显示出任何异常之处。;君の脳がそう錯覚するのは理解できる。だがこれは頭蓋骨ではない。このような岩の形成はこの地域では珍しくない。地質の構成にも特に変わった特徴も見られない。;애슐리의 뇌가 어떻게 이걸 받아들였는지는 이해하지만, 이것은 분명히 두개골이 아닙니다. 이 암석 구조는 이 지역에서 흔히 볼 수 있는 형태입니다. 지질학적 구성 역시 특별한 점을 나타내고 있지 않습니다.
DIALOG/encounters/ashley_ice_skull_04;What about the glow that's coming from inside it?;A co z tą poświatą, która dochodzi z jej wnętrza?;А как же свечение, которое идёт изнутри?;Et la lumière qu’il émet non plus ?;Was ist mit dem Leuchten aus dem Inneren?;¿Y ese brillo que sale de su interior?;E quanto ao brilho que está vindo de dentro dela?;那它里面发出的光是怎么回事？;じゃあ中から光ってるように見えるのは？;안에서 나오는 빛은?
DIALOG/encounters/mech_ice_skull_03;There is a small cavern under this rock that's filled with the Florium Cibarium Corulus plant. This species has particularly strong bioluminescence. It uses it as a lure to attract insects and other small creatures for pollination and seed dispersal. You have just proven its effectiveness.;Pod tą skałą znajduje się niewielka jaskinia wypełniona rośliną Florium Cibarium Corulus. Gatunek ten charakteryzuje się wyjątkowo silną bioluminescencją. Wykorzystuje ją jako przynętę do przyciągania owadów i innych małych stworzeń w celu zapylania i rozsiewania nasion. Właśnie udowodniłeś jej skuteczność.;Всё дело в том, что под камнем — маленький грот, где растёт флориум кибариум корулус. Это растение очень ярко светится в темноте, чтобы заманивать опылителей. И, как видишь, срабатывает даже на крупную добычу.;Il y a une petite caverne sous ce rocher remplie de spécimens de florium cibarium corulus. Cette espèce possède une bioluminescence particulièrement intense, qu’elle utilise comme appât pour attirer les insectes et autres petites créatures afin de favoriser la pollinisation et la dispersion de ses graines. Tu viens d’en constater l’efficacité.;Unter diesem Felsen befindet sich eine kleine Höhle, die mit der Pflanze Florium Cibarium Corulus bewachsen ist. Diese Art verfügt über eine besonders starke Biolumineszenz. Damit lockt sie Insekten und andere kleine Lebewesen an, um die Bestäubung und Samenverbreitung zu gewährleisten. Du hast soeben ihre Wirksamkeit unter Beweis gestellt.;Hay una pequeña caverna bajo esta roca llena de florium cibarium corulus. Esta especie de planta cuenta con una capacidad de bioluminiscencia muy elevada. La usa para atraer insectos y otras criaturas pequeñas aptas para la polinización y la dispersión de semillas. Acabas de demostrar lo efectiva que es.;Há uma pequena caverna sob essa rocha que está cheia da planta Florium Cibarium Corulus. Esta espécie possui bioluminescência particularmente intensa, que utiliza para atrair insetos e outras pequenas criaturas para polinização e dispersão de sementes. Você acabou de comprovar sua eficácia.;这块石头下面有一个小洞穴，里面长满了蓝光花。这个物种具有极强的生物发光性。它利用这种光作为诱饵，吸引昆虫和其他小生物来进行授粉和种子传播。你刚刚亲身证明了它的有效性。;岩の下に空洞があり、フロリウム・サイバリウムが自生している。この種の植物は生物発光により強い光を発する。光で昆虫や小動物を引き寄せ、受粉や種子の散布を手伝わせるのだ。今まさにその効果が実証されたな。;이 바위 아래에는 플로리움 시바리움 코룰루스 식물로 가득 찬 작은 동굴이 있습니다. 이 종은 특히 강한 생물 발광을 지녔습니다. 수분과 종자 확산을 위해 곤충 및 기타 작은 생물들을 유인하는 미끼로 이를 사용합니다. 방금 그 효과를 입증했습니다.
DIALOG/encounters/ashley_ice_skull_05;This is as much interesting as it is disappointing. Well, I guess there's nothing more to look at here. Carry on.;To równie interesujące, co rozczarowujące. Cóż, wygląda na to, że nie ma tu już nic więcej do oglądania. Kontynuujmy.;И познавательно, и досадно. Что ж, похоже, здесь больше смотреть не на что. Продолжаем работу.;C’est aussi intéressant que décevant. Bon, on a plus rien à faire ici. Continue.;Das ist ebenso interessant wie enttäuschend. Ich schätze, hier gibt es nichts mehr zu sehen. Weiter geht’s.;Tan interesante como decepcionante. Bueno, supongo que no hay mucho más que ver por aquí. Continuemos.;Isso é tão interessante quanto decepcionante. Bem, acho que não há mais nada para investigar aqui. Vamos continuar.;这既有趣又令人失望。好吧，我想这里没什么可看的了。继续前进吧。;興味深いけど、期待外れだったわね。他に目新しい物も無さそうだし、行きましょうか。;흥미롭기도 하지만, 그만큼 실망스럽기도 하군. 뭐, 여기선 더 이상 볼 게 없는 것 같네. 계속 가자고.
gui/hud/objective_name/generic/nest_granan_ice;Stop Colgan attacks.;Powstrzymaj ataki Colganów.;Остановите атаки кольганов.;Mettez fin aux attaques de Colgans.;Setze den Colgan-Angriffen ein Ende.;Detén los ataques de los colgan.;Impeça os ataques dos colganos.;阻止科尔根兽的攻击。;コルガンの攻撃を阻止せよ。;콜간의 공격을 멈추세요.
